id,created_at,answers,duration_ms,question_timings,remark,age_category,is_raad_van_advies,situation
07a73efd-e6c8-4660-8498-82a7ecd9b906,2026-05-28 09:51:28.907385+00,"{""v10-1"":{""value"":""4""},""v10-2"":{""value"":""2""},""v10-3"":{""value"":""4""},""v10-4"":{""value"":""4""},""v10-5"":{""value"":""2""},""v10-6"":{""value"":""3""},""v10-7"":{""value"":""1""},""v10-8"":{""value"":""4""},""v10-9"":{""value"":""5""},""v10-10"":{""value"":""3""},""v10-11"":{""value"":""2""},""v10-12"":{""value"":""4""},""v10-13"":{""value"":""4""},""v10-14"":{""value"":""3""},""v10-15"":{""value"":""1""},""v10-16"":{""value"":""4""},""v10-17"":{""value"":""5""},""v10-18"":{""value"":""5""},""v10-19"":{""value"":""3""},""v10-20"":{""value"":""5""},""v10-21"":{""value"":""2""},""v10-22"":{""value"":""3""},""v10-23"":{""value"":""4""},""v10-24"":{""value"":""2""},""v10-25"":{""value"":""5""},""v10-26"":{""value"":""3""},""v10-27"":{""value"":""3""},""v10-28"":{""value"":""5""},""v10-29"":{""value"":""4""},""v10-30"":{""value"":""4""},""v10-31"":{""value"":""3""},""v10-32"":{""value"":""5""},""v10-33"":{""value"":""2""},""v10-34"":{""value"":""3""},""v10-35"":{""value"":""5""},""v10-36"":{""value"":""5""}}",319161,"{""v10-1"":110687,""v10-2"":12713,""v10-3"":3428,""v10-4"":3763,""v10-5"":8338,""v10-6"":3811,""v10-7"":3578,""v10-8"":7391,""v10-9"":2395,""v10-10"":5258,""v10-11"":7405,""v10-12"":8454,""v10-13"":12829,""v10-14"":6522,""v10-15"":4077,""v10-16"":4476,""v10-17"":23198,""v10-18"":3428,""v10-19"":4027,""v10-20"":5275,""v10-21"":3777,""v10-22"":4343,""v10-23"":5839,""v10-24"":4459,""v10-25"":1549,""v10-26"":13615,""v10-27"":4975,""v10-28"":2679,""v10-29"":2545,""v10-30"":8617,""v10-31"":3776,""v10-32"":2578,""v10-33"":6640,""v10-34"":5123,""v10-35"":3712,""v10-36"":3876}",,Jonger dan 25,false,Ik ga naar school
0f0e6c1c-c504-4a90-8c93-795c4e9a69f3,2026-05-20 20:32:16.176632+00,"{""v10-1"":{""value"":""2""},""v10-2"":{""value"":""3""},""v10-3"":{""value"":""4""},""v10-4"":{""value"":""1""},""v10-5"":{""value"":""5""},""v10-6"":{""value"":""2""},""v10-7"":{""value"":""5""},""v10-8"":{""value"":""4""},""v10-9"":{""value"":""3""},""v10-10"":{""value"":""3""},""v10-11"":{""value"":""3""},""v10-12"":{""value"":""3""},""v10-13"":{""value"":""3""},""v10-14"":{""value"":""2""},""v10-15"":{""value"":""1""},""v10-16"":{""value"":""2""},""v10-17"":{""value"":""2""},""v10-18"":{""value"":""5""},""v10-19"":{""value"":""3""},""v10-20"":{""value"":""5""},""v10-21"":{""value"":""1""},""v10-22"":{""value"":""1""},""v10-23"":{""value"":""5""},""v10-24"":{""value"":""3""},""v10-25"":{""value"":""3""},""v10-26"":{""value"":""3""},""v10-27"":{""value"":""5""},""v10-28"":{""value"":""5""},""v10-29"":{""value"":""5""},""v10-30"":{""value"":""5""},""v10-31"":{""value"":""2""},""v10-32"":{""value"":""4""},""v10-33"":{""value"":""3""},""v10-34"":{""value"":""5""},""v10-35"":{""value"":""2""},""v10-36"":{""value"":""5""}}",344046,"{""v10-1"":18842,""v10-2"":5465,""v10-3"":7422,""v10-4"":13610,""v10-5"":11982,""v10-6"":4728,""v10-7"":50245,""v10-8"":9651,""v10-9"":5035,""v10-10"":4082,""v10-11"":5465,""v10-12"":5195,""v10-13"":13202,""v10-14"":7227,""v10-15"":9345,""v10-16"":7446,""v10-17"":6667,""v10-18"":11197,""v10-19"":4958,""v10-20"":3702,""v10-21"":16160,""v10-22"":5547,""v10-23"":3557,""v10-24"":3079,""v10-25"":4591,""v10-26"":5216,""v10-27"":3580,""v10-28"":13898,""v10-29"":4673,""v10-30"":3833,""v10-31"":7104,""v10-32"":7587,""v10-33"":11553,""v10-34"":16693,""v10-35"":22826,""v10-36"":8679}",,25 tot 35,false,Ik werk en wil misschien eens iets (heel) anders
29b41c77-2669-4808-a011-797ba6433402,2026-05-20 18:11:28.426486+00,"{""v10-1"":{""value"":""2""},""v10-2"":{""value"":""4""},""v10-3"":{""value"":""4""},""v10-4"":{""value"":""3""},""v10-5"":{""value"":""3""},""v10-6"":{""value"":""2""},""v10-7"":{""value"":""2""},""v10-8"":{""value"":""4""},""v10-9"":{""value"":""4""},""v10-10"":{""value"":""4""},""v10-11"":{""value"":""3""},""v10-12"":{""value"":""2""},""v10-13"":{""value"":""4""},""v10-14"":{""value"":""3""},""v10-15"":{""value"":""1""},""v10-16"":{""value"":""3""},""v10-17"":{""value"":""3""},""v10-18"":{""value"":""4""},""v10-19"":{""value"":""2""},""v10-20"":{""value"":""5""},""v10-21"":{""value"":""2""},""v10-22"":{""value"":""1""},""v10-23"":{""value"":""4""},""v10-24"":{""value"":""3""},""v10-25"":{""value"":""5""},""v10-26"":{""value"":""5""},""v10-27"":{""value"":""4""},""v10-28"":{""value"":""4""},""v10-29"":{""value"":""4""},""v10-30"":{""value"":""2""},""v10-31"":{""value"":""1""},""v10-32"":{""value"":""4""},""v10-33"":{""value"":""4""},""v10-34"":{""value"":""4""},""v10-35"":{""value"":""4""},""v10-36"":{""value"":""3""}}",105434,"{""v10-1"":7118,""v10-2"":2066,""v10-3"":2259,""v10-4"":2133,""v10-5"":2536,""v10-6"":3316,""v10-7"":2506,""v10-8"":4141,""v10-9"":2058,""v10-10"":1833,""v10-11"":2932,""v10-12"":4300,""v10-13"":6768,""v10-14"":2726,""v10-15"":2958,""v10-16"":2416,""v10-17"":2892,""v10-18"":3198,""v10-19"":2773,""v10-20"":1585,""v10-21"":1900,""v10-22"":2583,""v10-23"":2015,""v10-24"":2200,""v10-25"":1469,""v10-26"":2315,""v10-27"":2216,""v10-28"":2699,""v10-29"":2782,""v10-30"":2375,""v10-31"":2774,""v10-32"":1511,""v10-33"":7476,""v10-34"":1592,""v10-35"":3997,""v10-36"":3009}",,35 tot 45,false,"Ik begeleid mensen (coach, docent, begeleider)"
2a0945c1-dc54-4438-b4dc-0494568bd7a8,2026-05-20 19:05:27.798801+00,"{""v10-1"":{""value"":""5""},""v10-2"":{""value"":""2""},""v10-3"":{""value"":""4""},""v10-4"":{""value"":""4""},""v10-5"":{""value"":""3""},""v10-6"":{""value"":""3""},""v10-7"":{""value"":""4""},""v10-8"":{""value"":""3""},""v10-9"":{""value"":""4""},""v10-10"":{""value"":""4""},""v10-11"":{""value"":""3""},""v10-12"":{""value"":""3""},""v10-13"":{""value"":""4""},""v10-14"":{""value"":""5""},""v10-15"":{""value"":""3""},""v10-16"":{""value"":""3""},""v10-17"":{""value"":""4""},""v10-18"":{""value"":""5""},""v10-19"":{""value"":""4""},""v10-20"":{""value"":""5""},""v10-21"":{""value"":""4""},""v10-22"":{""value"":""3""},""v10-23"":{""value"":""5""},""v10-24"":{""value"":""3""},""v10-25"":{""value"":""4""},""v10-26"":{""value"":""2""},""v10-27"":{""value"":""3""},""v10-28"":{""value"":""5""},""v10-29"":{""value"":""4""},""v10-30"":{""value"":""3""},""v10-31"":{""value"":""3""},""v10-32"":{""value"":""4""},""v10-33"":{""value"":""4""},""v10-34"":{""value"":""4""},""v10-35"":{""value"":""4""},""v10-36"":{""value"":""4""}}",184190,"{""v10-1"":9727,""v10-2"":6465,""v10-3"":5400,""v10-4"":3375,""v10-5"":5443,""v10-6"":2873,""v10-7"":5219,""v10-8"":8193,""v10-9"":4154,""v10-10"":5942,""v10-11"":5682,""v10-12"":3361,""v10-13"":8712,""v10-14"":6833,""v10-15"":4596,""v10-16"":4318,""v10-17"":4787,""v10-18"":5941,""v10-19"":3398,""v10-20"":2980,""v10-21"":3491,""v10-22"":2629,""v10-23"":5593,""v10-24"":4796,""v10-25"":2851,""v10-26"":7619,""v10-27"":3777,""v10-28"":4306,""v10-29"":5604,""v10-30"":3872,""v10-31"":5765,""v10-32"":2631,""v10-33"":5521,""v10-34"":2184,""v10-35"":11494,""v10-36"":4654}",,25 tot 35,true,Ik werk en wil misschien eens iets (heel) anders
2cf3e081-d78d-4f2e-b37b-53ca170b8d3a,2026-05-28 09:52:21.728183+00,"{""v10-1"":{""value"":""4""},""v10-2"":{""value"":""5""},""v10-3"":{""value"":""4""},""v10-4"":{""value"":""5""},""v10-5"":{""value"":""2""},""v10-6"":{""value"":""2""},""v10-7"":{""value"":""5""},""v10-8"":{""value"":""5""},""v10-9"":{""value"":""2""},""v10-10"":{""value"":""4""},""v10-11"":{""value"":""3""},""v10-12"":{""value"":""5""},""v10-13"":{""value"":""4""},""v10-14"":{""value"":""5""},""v10-15"":{""value"":""5""},""v10-16"":{""value"":""4""},""v10-17"":{""value"":""5""},""v10-18"":{""value"":""5""},""v10-19"":{""value"":""5""},""v10-20"":{""value"":""3""},""v10-21"":{""value"":""5""},""v10-22"":{""value"":""3""},""v10-23"":{""value"":""4""},""v10-24"":{""value"":""5""},""v10-25"":{""value"":""5""},""v10-26"":{""value"":""5""},""v10-27"":{""value"":""5""},""v10-28"":{""value"":""5""},""v10-29"":{""value"":""4""},""v10-30"":{""value"":""2""},""v10-31"":{""value"":""4""},""v10-32"":{""value"":""5""},""v10-33"":{""value"":""5""},""v10-34"":{""value"":""5""},""v10-35"":{""value"":""5""},""v10-36"":{""value"":""5""}}",267264,"{""v10-1"":23010,""v10-2"":3131,""v10-3"":3981,""v10-4"":2621,""v10-5"":9263,""v10-6"":6900,""v10-7"":5932,""v10-8"":8730,""v10-9"":6414,""v10-10"":4194,""v10-11"":10387,""v10-12"":3801,""v10-13"":11377,""v10-14"":14032,""v10-15"":17856,""v10-16"":4335,""v10-17"":7437,""v10-18"":5431,""v10-19"":4637,""v10-20"":3558,""v10-21"":5959,""v10-22"":4299,""v10-23"":5350,""v10-24"":4401,""v10-25"":5411,""v10-26"":19823,""v10-27"":4101,""v10-28"":5520,""v10-29"":3859,""v10-30"":6781,""v10-31"":13973,""v10-32"":2148,""v10-33"":11555,""v10-34"":3139,""v10-35"":10895,""v10-36"":3021}",,Jonger dan 25,false,Ik werk nu niet en wil mij oriënteren
334f02de-b503-423a-8ef8-f4eff12ca493,2026-05-28 09:55:17.147023+00,"{""v10-1"":{""value"":""5""},""v10-2"":{""value"":""1""},""v10-3"":{""value"":""4""},""v10-4"":{""value"":""3""},""v10-5"":{""value"":""3""},""v10-6"":{""value"":""3""},""v10-7"":{""value"":""5""},""v10-8"":{""value"":""3""},""v10-9"":{""value"":""3""},""v10-10"":{""value"":""3""},""v10-11"":{""value"":""3""},""v10-12"":{""value"":""4""},""v10-13"":{""value"":""4""},""v10-14"":{""value"":""2""},""v10-15"":{""value"":""2""},""v10-16"":{""value"":""2""},""v10-17"":{""value"":""5""},""v10-18"":{""value"":""3""},""v10-19"":{""value"":""3""},""v10-20"":{""value"":""3""},""v10-21"":{""value"":""2""},""v10-22"":{""value"":""2""},""v10-23"":{""value"":""3""},""v10-24"":{""value"":""2""},""v10-25"":{""value"":""3""},""v10-26"":{""value"":""3""},""v10-27"":{""value"":""3""},""v10-28"":{""value"":""5""},""v10-29"":{""value"":""3""},""v10-30"":{""value"":""3""},""v10-31"":{""value"":""1""},""v10-32"":{""value"":""5""},""v10-33"":{""value"":""4""},""v10-34"":{""value"":""2""},""v10-35"":{""value"":""2""},""v10-36"":{""value"":""2""}}",224215,"{""v10-1"":14920,""v10-2"":4385,""v10-3"":2999,""v10-4"":2666,""v10-5"":2520,""v10-6"":2847,""v10-7"":3438,""v10-8"":6901,""v10-9"":2936,""v10-10"":5250,""v10-11"":5321,""v10-12"":8732,""v10-13"":11256,""v10-14"":7908,""v10-15"":6268,""v10-16"":4732,""v10-17"":2451,""v10-18"":5782,""v10-19"":2200,""v10-20"":1855,""v10-21"":13999,""v10-22"":5084,""v10-23"":2458,""v10-24"":2030,""v10-25"":1866,""v10-26"":17711,""v10-27"":6266,""v10-28"":2536,""v10-29"":2710,""v10-30"":28616,""v10-31"":5868,""v10-32"":5664,""v10-33"":10350,""v10-34"":2766,""v10-35"":5962,""v10-36"":4959}",,Jonger dan 25,false,Ik werk nu niet en wil mij oriënteren
4ba4223c-f873-46f3-96be-4deb4290dd39,2026-05-20 09:39:38.574141+00,"{""v10-1"":{""value"":""3""},""v10-2"":{""value"":""3""},""v10-3"":{""value"":""5""},""v10-4"":{""value"":""3""},""v10-5"":{""value"":""3""},""v10-6"":{""value"":""3""},""v10-7"":{""value"":""5""},""v10-8"":{""value"":""3""},""v10-9"":{""value"":""3""},""v10-10"":{""value"":""3""},""v10-11"":{""value"":""3""},""v10-12"":{""value"":""3""},""v10-13"":{""value"":""3""},""v10-14"":{""value"":""3""},""v10-15"":{""value"":""3""},""v10-16"":{""value"":""3""},""v10-17"":{""value"":""3""},""v10-18"":{""value"":""3""},""v10-19"":{""value"":""3""},""v10-20"":{""value"":""3""},""v10-21"":{""value"":""3""},""v10-22"":{""value"":""3""},""v10-23"":{""value"":""3""},""v10-24"":{""value"":""3""},""v10-25"":{""value"":""4""},""v10-26"":{""value"":""3""},""v10-27"":{""value"":""3""},""v10-28"":{""value"":""3""},""v10-29"":{""value"":""3""},""v10-30"":{""value"":""3""},""v10-31"":{""value"":""3""},""v10-32"":{""value"":""3""},""v10-33"":{""value"":""3""},""v10-34"":{""value"":""4""},""v10-35"":{""value"":""3""},""v10-36"":{""value"":""3""}}",122564,"{""v10-1"":9141,""v10-2"":917,""v10-3"":4123,""v10-4"":4326,""v10-5"":952,""v10-6"":854,""v10-7"":6152,""v10-8"":7172,""v10-9"":1437,""v10-10"":5166,""v10-11"":9841,""v10-12"":2815,""v10-13"":4633,""v10-14"":10208,""v10-15"":933,""v10-16"":1413,""v10-17"":1236,""v10-18"":5267,""v10-19"":4006,""v10-20"":1717,""v10-21"":1049,""v10-22"":869,""v10-23"":3170,""v10-24"":1918,""v10-25"":2603,""v10-26"":1252,""v10-27"":1181,""v10-28"":7122,""v10-29"":1600,""v10-30"":3917,""v10-31"":983,""v10-32"":1651,""v10-33"":1768,""v10-34"":3116,""v10-35"":6949,""v10-36"":1099}",Nee,Jonger dan 25,false,Ik werk nu niet en wil mij oriënteren
56ebfd00-5dcc-41a1-ba76-6a03e87012d3,2026-05-28 09:55:54.622599+00,"{""v10-1"":{""value"":""4""},""v10-2"":{""value"":""2""},""v10-3"":{""value"":""5""},""v10-4"":{""value"":""3""},""v10-5"":{""value"":""3""},""v10-6"":{""value"":""3""},""v10-7"":{""value"":""5""},""v10-8"":{""value"":""5""},""v10-9"":{""value"":""2""},""v10-10"":{""value"":""3""},""v10-11"":{""value"":""3""},""v10-12"":{""value"":""5""},""v10-13"":{""value"":""4""},""v10-14"":{""value"":""4""},""v10-15"":{""value"":""2""},""v10-16"":{""value"":""3""},""v10-17"":{""value"":""3""},""v10-18"":{""value"":""5""},""v10-19"":{""value"":""3""},""v10-20"":{""value"":""4""},""v10-21"":{""value"":""2""},""v10-22"":{""value"":""4""},""v10-23"":{""value"":""4""},""v10-24"":{""value"":""2""},""v10-25"":{""value"":""4""},""v10-26"":{""value"":""4""},""v10-27"":{""value"":""3""},""v10-28"":{""value"":""5""},""v10-29"":{""value"":""5""},""v10-30"":{""value"":""4""},""v10-31"":{""value"":""4""},""v10-32"":{""value"":""5""},""v10-33"":{""value"":""4""},""v10-34"":{""value"":""4""},""v10-35"":{""value"":""3""},""v10-36"":{""value"":""5""}}",267302,"{""v10-1"":18624,""v10-2"":7294,""v10-3"":7381,""v10-4"":8311,""v10-5"":4470,""v10-6"":4715,""v10-7"":3671,""v10-8"":6886,""v10-9"":9903,""v10-10"":6342,""v10-11"":10758,""v10-12"":4700,""v10-13"":14373,""v10-14"":10393,""v10-15"":5899,""v10-16"":5499,""v10-17"":5313,""v10-18"":6199,""v10-19"":7079,""v10-20"":3438,""v10-21"":4238,""v10-22"":4601,""v10-23"":5783,""v10-24"":5768,""v10-25"":4640,""v10-26"":6743,""v10-27"":7110,""v10-28"":5634,""v10-29"":6861,""v10-30"":8121,""v10-31"":6231,""v10-32"":5130,""v10-33"":16181,""v10-34"":16007,""v10-35"":7400,""v10-36"":5597}",,Jonger dan 25,false,Ik werk nu niet en wil mij oriënteren
632533ad-f3a5-4e50-ab24-fd0c4e30c85c,2026-05-20 19:09:33.696843+00,"{""v10-1"":{""value"":""5""},""v10-2"":{""value"":""2""},""v10-3"":{""value"":""5""},""v10-4"":{""value"":""1""},""v10-5"":{""value"":""1""},""v10-6"":{""value"":""2""},""v10-7"":{""value"":""4""},""v10-8"":{""value"":""5""},""v10-9"":{""value"":""4""},""v10-10"":{""value"":""5""},""v10-11"":{""value"":""3""},""v10-12"":{""value"":""1""},""v10-13"":{""value"":""5""},""v10-14"":{""value"":""5""},""v10-15"":{""value"":""1""},""v10-16"":{""value"":""3""},""v10-17"":{""value"":""1""},""v10-18"":{""value"":""5""},""v10-19"":{""value"":""3""},""v10-20"":{""value"":""5""},""v10-21"":{""value"":""3""},""v10-22"":{""value"":""1""},""v10-23"":{""value"":""5""},""v10-24"":{""value"":""1""},""v10-25"":{""value"":""5""},""v10-26"":{""value"":""3""},""v10-27"":{""value"":""5""},""v10-28"":{""value"":""5""},""v10-29"":{""value"":""5""},""v10-30"":{""value"":""5""},""v10-31"":{""value"":""1""},""v10-32"":{""value"":""5""},""v10-33"":{""value"":""2""},""v10-34"":{""value"":""5""},""v10-35"":{""value"":""2""},""v10-36"":{""value"":""3""}}",224320,"{""v10-1"":15179,""v10-2"":6808,""v10-3"":2397,""v10-4"":9487,""v10-5"":3840,""v10-6"":6068,""v10-7"":11620,""v10-8"":10007,""v10-9"":7298,""v10-10"":2753,""v10-11"":15356,""v10-12"":5105,""v10-13"":4789,""v10-14"":8250,""v10-15"":3765,""v10-16"":4942,""v10-17"":3238,""v10-18"":2931,""v10-19"":9273,""v10-20"":1795,""v10-21"":10336,""v10-22"":2706,""v10-23"":3908,""v10-24"":5018,""v10-25"":3341,""v10-26"":12570,""v10-27"":2256,""v10-28"":3281,""v10-29"":2825,""v10-30"":2699,""v10-31"":3949,""v10-32"":2791,""v10-33"":14395,""v10-34"":2924,""v10-35"":8453,""v10-36"":7963}",,55 of ouder,false,"Ik begeleid mensen (coach, docent, begeleider)"
8b18c803-61fb-452f-8f8d-d3a76f4ba879,2026-05-20 09:28:02.161373+00,"{""v10-1"":{""value"":""5""},""v10-2"":{""value"":""3""},""v10-3"":{""value"":""4""},""v10-4"":{""value"":""2""},""v10-5"":{""value"":""4""},""v10-6"":{""value"":""5""},""v10-7"":{""value"":""5""},""v10-8"":{""value"":""5""},""v10-9"":{""value"":""2""},""v10-10"":{""value"":""2""},""v10-11"":{""value"":""3""},""v10-12"":{""value"":""4""},""v10-13"":{""value"":""4""},""v10-14"":{""value"":""2""},""v10-15"":{""value"":""1""},""v10-16"":{""value"":""2""},""v10-17"":{""value"":""4""},""v10-18"":{""value"":""3""},""v10-19"":{""value"":""3""},""v10-20"":{""value"":""3""},""v10-21"":{""value"":""4""},""v10-22"":{""value"":""3""},""v10-23"":{""value"":""3""},""v10-24"":{""value"":""2""},""v10-25"":{""value"":""4""},""v10-26"":{""value"":""4""},""v10-27"":{""value"":""3""},""v10-28"":{""value"":""1""},""v10-29"":{""value"":""2""},""v10-30"":{""value"":""5""},""v10-31"":{""value"":""4""},""v10-32"":{""value"":""3""},""v10-33"":{""value"":""2""},""v10-34"":{""value"":""5""},""v10-35"":{""value"":""3""},""v10-36"":{""value"":""5""}}",238522,"{""v10-1"":3224,""v10-2"":16180,""v10-3"":5853,""v10-4"":2808,""v10-5"":1059,""v10-6"":3209,""v10-7"":1261,""v10-8"":12309,""v10-9"":14573,""v10-10"":1978,""v10-11"":1210,""v10-12"":3587,""v10-13"":28726,""v10-14"":25883,""v10-15"":1360,""v10-16"":2001,""v10-17"":1566,""v10-18"":1183,""v10-19"":11056,""v10-20"":2365,""v10-21"":2068,""v10-22"":1082,""v10-23"":8200,""v10-24"":1158,""v10-25"":1006,""v10-26"":1134,""v10-27"":1267,""v10-28"":14322,""v10-29"":9565,""v10-30"":2249,""v10-31"":1244,""v10-32"":14912,""v10-33"":1899,""v10-34"":1519,""v10-35"":33606,""v10-36"":1893}",K heb geen vraag,Jonger dan 25,false,Ik werk nu niet en wil mij oriënteren
